,year,date,lake_id,taxon,counted_dem?,dem,infect,count,eggs,counted_all?,fewer_10_hosts?,other_inf_sp,notes,parasite,parasite2,demography
60,2021,7/13/21,Big Sister,dam,yes,U,U,2,NA,yes,yes,NA,NA,uninfected,,check
61,2021,7/13/21,Big Sister,dam,yes,U,U,3,0,yes,yes,NA,NA,uninfected,,check
62,2021,7/13/21,Big Sister,dla,yes,U,U,2,NA,yes,yes,NA,NA,uninfected,,check
63,2021,8/4/21,Big Sister,dam,yes,A,L,2,0,yes,no,NA,NA,larssonia,,adult
64,2021,8/4/21,Big Sister,dam,yes,A,U,15,10,yes,no,NA,NA,uninfected,,adult
65,2021,8/4/21,Big Sister,dam,yes,J,U,11,NA,yes,no,NA,NA,uninfected,,juvenile
66,2021,8/4/21,Big Sister,dla,yes,J,U,2,NA,yes,no,NA,NA,uninfected,,juvenile
67,2021,8/26/21,Big Sister,dam,yes,A,L,9,0,no,no,NA,NA,larssonia,,adult
68,2021,8/26/21,Big Sister,dam,yes,A,U,157,170,no,no,NA,NA,uninfected,,adult
69,2021,8/26/21,Big Sister,dam,yes,J,U,140,NA,no,no,NA,NA,uninfected,,juvenile
70,2021,8/26/21,Big Sister,dla,yes,A,U,2,NA,no,no,NA,NA,uninfected,,adult
71,2021,8/26/21,Big Sister,dla,yes,J,U,1,NA,no,no,NA,NA,uninfected,,juvenile
72,2021,8/26/21,Big Sister,dpa,yes,A,U,3,7,no,no,NA,NA,uninfected,,adult
73,2021,8/26/21,Big Sister,dpa,yes,J,U,7,NA,no,no,NA,NA,uninfected,,juvenile
74,2021,9/14/21,Big Sister,dam,yes,A,L,5,0,no,no,NA,NA,larssonia,,adult
75,2021,9/14/21,Big Sister,dam,yes,A,U,171,45,no,no,NA,NA,uninfected,,adult
76,2021,9/14/21,Big Sister,dam,yes,J,U,140,NA,no,no,NA,NA,uninfected,,juvenile
77,2021,10/12/21,Big Sister,dam,yes,A,L,1,0,yes,no,NA,NA,larssonia,,adult
78,2021,10/12/21,Big Sister,dam,yes,A,U,135,139,yes,no,NA,NA,uninfected,,adult
79,2021,10/12/21,Big Sister,dam,yes,J,U,135,NA,yes,no,NA,NA,uninfected,,juvenile
80,2021,10/12/21,Big Sister,dla,yes,A,U,2,4,yes,no,NA,NA,uninfected,,adult
81,2021,10/12/21,Big Sister,dla,yes,J,U,4,NA,yes,no,NA,NA,uninfected,,juvenile
82,2021,11/2/21,Big Sister,dam,yes,A,U,55,61,yes,no,NA,NA,uninfected,,adult
83,2021,11/2/21,Big Sister,dam,yes,J,U,86,NA,yes,no,NA,NA,uninfected,,juvenile
84,2021,11/22/21,Big Sister,cer,no,NA,L,1,NA,yes,no,NA,NA,larssonia,,check
85,2021,11/22/21,Big Sister,cer,no,NA,U,11,NA,yes,no,NA,NA,uninfected,,check
86,2021,11/22/21,Big Sister,dam,yes,A,L,4,0,yes,no,NA,NA,larssonia,,adult
87,2021,11/22/21,Big Sister,dam,yes,A,U,89,110,yes,no,NA,NA,uninfected,,adult
88,2021,11/22/21,Big Sister,dam,yes,J,U,107,NA,yes,no,NA,NA,uninfected,,juvenile
89,2021,11/22/21,Big Sister,dia,no,NA,U,4,NA,yes,no,NA,NA,uninfected,,check
90,2021,11/22/21,Big Sister,sim,yes,A,L,1,0,yes,no,NA,questionable infection - confirm from spore yield?,larssonia,,adult
91,2021,12/14/21,Big Sister,dam,yes,A,L,1,0,yes,no,NA,NA,larssonia,,adult
92,2021,12/14/21,Big Sister,dam,yes,A,U,72,95,yes,no,NA,NA,uninfected,,adult
93,2021,12/14/21,Big Sister,dam,yes,J,U,84,NA,yes,no,NA,NA,uninfected,,juvenile
94,2021,12/14/21,Big Sister,dia,no,NA,L,1,NA,yes,no,NA,NA,larssonia,,check
95,2021,12/14/21,Big Sister,dia,no,NA,U,9,NA,yes,no,NA,NA,uninfected,,check
96,2022,1/5/22,Big Sister,cer,no,NA,U,3,NA,yes,no,NA,NA,uninfected,,check
97,2022,1/5/22,Big Sister,dam,yes,A,U,86,188,yes,no,NA,NA,uninfected,,adult
98,2022,1/5/22,Big Sister,dam,yes,J,U,58,NA,yes,no,NA,NA,uninfected,,juvenile
99,2022,1/5/22,Big Sister,dia,no,NA,U,3,NA,yes,no,NA,NA,uninfected,,check
100,2022,1/5/22,Big Sister,dla,yes,J,U,5,NA,yes,no,NA,NA,uninfected,,juvenile
101,2022,1/27/22,Big Sister,cer,no,NA,U,8,NA,no,no,NA,NA,uninfected,,check
102,2022,1/27/22,Big Sister,dam,yes,A,U,90,224,no,no,NA,NA,uninfected,,adult
103,2022,1/27/22,Big Sister,dam,yes,J,U,223,NA,no,no,NA,NA,uninfected,,juvenile
104,2022,1/27/22,Big Sister,dia,no,NA,U,5,NA,no,no,NA,NA,uninfected,,check
105,2022,1/27/22,Big Sister,dla,yes,J,U,6,NA,no,no,NA,NA,uninfected,,juvenile
106,2022,2/18/22,Big Sister,dam,yes,A,L,1,0,no,no,NA,NA,larssonia,,adult
107,2022,2/18/22,Big Sister,dam,yes,A,U,125,109,no,no,NA,NA,uninfected,,adult
108,2022,2/18/22,Big Sister,dam,yes,J,U,189,NA,no,no,NA,NA,uninfected,,juvenile
109,2022,2/18/22,Big Sister,dla,yes,J,U,6,NA,no,no,NA,NA,uninfected,,juvenile
110,2022,3/7/22,Big Sister,dam,yes,A,L,6,1,yes,no,NA,NA,larssonia,,adult
111,2022,3/7/22,Big Sister,dam,yes,A,U,191,367,yes,no,NA,NA,uninfected,,adult
112,2022,3/7/22,Big Sister,dam,yes,J,U,179,NA,yes,no,NA,NA,uninfected,,juvenile
113,2022,3/7/22,Big Sister,dla,yes,A,U,3,17,yes,no,NA,NA,uninfected,,adult
114,2022,3/7/22,Big Sister,dla,yes,J,U,3,NA,yes,no,NA,NA,uninfected,,juvenile
115,2022,3/28/22,Big Sister,dam,yes,A,L,74,9,no,no,NA,NA,larssonia,,adult
116,2022,3/28/22,Big Sister,dam,yes,A,U,120,145,no,no,NA,NA,uninfected,,adult
117,2022,3/28/22,Big Sister,dam,yes,E,U,1,NA,no,no,NA,NA,uninfected,,ephippial
118,2022,3/28/22,Big Sister,dam,yes,J,L,4,NA,no,no,NA,NA,larssonia,,juvenile
119,2022,3/28/22,Big Sister,dam,yes,J,U,257,NA,no,no,NA,NA,uninfected,,juvenile
120,2022,3/28/22,Big Sister,dla,yes,A,U,6,17,no,no,NA,NA,uninfected,,adult
121,2022,3/28/22,Big Sister,dla,yes,J,U,5,NA,no,no,NA,NA,uninfected,,juvenile
122,2022,4/21/22,Big Sister,cer,no,NA,U,9,NA,no,no,NA,NA,uninfected,,check
123,2022,4/21/22,Big Sister,dam,yes,A,L,52,14,no,no,NA,NA,larssonia,,adult
124,2022,4/21/22,Big Sister,dam,yes,A,U,120,190,no,no,NA,NA,uninfected,,adult
125,2022,4/21/22,Big Sister,dam,yes,J,U,231,NA,no,no,NA,NA,uninfected,,juvenile
126,2022,4/21/22,Big Sister,dam,yes,M,U,3,NA,no,no,NA,NA,uninfected,,male
127,2022,4/21/22,Big Sister,dia,no,NA,U,2,NA,no,no,NA,NA,uninfected,,check
128,2022,4/21/22,Big Sister,dia,no,NA,L,2,NA,no,no,NA,NA,larssonia,,check
129,2022,4/21/22,Big Sister,dla,yes,A,U,2,7,no,no,NA,NA,uninfected,,adult
130,2022,4/21/22,Big Sister,dla,yes,J,U,8,NA,no,no,NA,NA,uninfected,,juvenile
131,2022,4/21/22,Big Sister,dpa,yes,J,U,2,NA,no,no,NA,NA,uninfected,,juvenile
132,2022,5/11/22,Big Sister,cer,no,NA,U,182,NA,no,no,NA,NA,uninfected,,check
133,2022,5/11/22,Big Sister,dam,yes,A,L,6,0,no,no,NA,NA,larssonia,,adult
134,2022,5/11/22,Big Sister,dam,yes,A,U,127,41,no,no,NA,NA,uninfected,,adult
135,2022,5/11/22,Big Sister,dam,yes,J,U,185,NA,no,no,bos,lots of Bosmina infected with pasteuria! Confirmed by squish,uninfected,,juvenile
136,2022,5/11/22,Big Sister,dia,no,NA,L,3,NA,no,no,NA,NA,larssonia,,check
137,2022,5/11/22,Big Sister,dia,no,NA,U,22,NA,no,no,NA,NA,uninfected,,check
138,2022,5/11/22,Big Sister,dla,yes,A,U,4,12,no,no,NA,NA,uninfected,,adult
